Species,Treatment,Energy,Energy (400-500),Energy (500-600),Energy (600-700),Energy (700-800),PFD,PFD (400-500),PFD (500-600),PFD (600-700),PFD (700-800),CO2 ave,CO2 std,T ave,T std,RH ave,RH std,Photoperiod (h),Day,Fresh Mass (g),Dry Mass (g)
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,430,41,22.8,1,39,12,15,9,0.7615,0.062378191
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,430,41,22.8,1,39,12,15,9,0.2775,0.017039474
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,430,41,22.8,1,39,12,15,9,0.952,0.072281481
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,430,41,22.8,1,39,12,15,9,0.9185,0.067421809
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,430,41,22.8,1,39,12,15,9,0.8,0.058842975
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,430,41,22.8,1,39,12,18,9,0.9375,0.068597561
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,430,41,22.8,1,39,12,18,9,0.5255,0.034864904
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,430,41,22.8,1,39,12,18,9,0.687,0.049464
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,430,41,22.8,1,39,12,18,9,0.714,0.048427826
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,430,41,22.8,1,39,12,18,9,1.043,0.074841221
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,430,41,22.8,1,39,12,18,9,0.369,0.023140678
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,430,41,22.8,1,39,12,18,9,0.675,0.052561475
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,430,41,22.8,1,39,12,18,9,0.3335,0.02668
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,430,41,22.8,1,39,12,18,9,0.9475,0.066491228
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,430,41,22.8,1,39,12,21,9,1.233,0.088551818
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,430,41,22.8,1,39,12,21,9,0.4355,0.032484016
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,430,41,22.8,1,39,12,21,9,0.6345,0.053688462
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,430,41,22.8,1,39,12,21,9,0.784,0.052972973
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,430,41,22.8,1,39,12,21,9,0.3405,0.02411875
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,430,41,22.8,1,39,12,21,9,0.4325,0.034332474
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,430,41,22.8,1,39,12,21,9,0.462,0.037844681
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,430,41,22.8,1,39,12,21,9,0.784,0.048140351
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,430,41,22.8,1,39,12,21,9,0.3515,0.026687963
